org_pac_id,org_nm, measure_cd, measure_title, prf_rate
1254237779,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
1254237779,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
1254237779,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,37
1254237779,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,65
1254237779,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
1254237779,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
1254248917,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
1254248917,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
1254248917,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
1254248917,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
1254248917,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
1254248917,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
1254571896,DIGNITY HEALTH MEDICAL GROUP NEVADA LLC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
1254571896,DIGNITY HEALTH MEDICAL GROUP NEVADA LLC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
1254571896,DIGNITY HEALTH MEDICAL GROUP NEVADA LLC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,38
1254571896,DIGNITY HEALTH MEDICAL GROUP NEVADA LLC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,58
1254571896,DIGNITY HEALTH MEDICAL GROUP NEVADA LLC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
1254571896,DIGNITY HEALTH MEDICAL GROUP NEVADA LLC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
1759319684,KUMAR SATHIANATHAN MD PA,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",82
1759319684,KUMAR SATHIANATHAN MD PA,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
1759319684,KUMAR SATHIANATHAN MD PA,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
1759319684,KUMAR SATHIANATHAN MD PA,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
1759319684,KUMAR SATHIANATHAN MD PA,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92
1759319684,KUMAR SATHIANATHAN MD PA,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
1759392079,OHH PHYSICIANS LLC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",65
