apartment_size_m2,floor,distance_to_center_km,price_eur
111,1,6.29,75567.16
44,4,10.24,37133.92
33,1,5.91,25074.06
65,6,13.54,50961.22
61,7,7.05,47617.36
58,5,4.09,44916.9
47,2,1.43,43909.81
43,4,0.8,41649.83
116,10,8.53,95871.4
99,6,9.03,80586.47
41,4,0.6,35399.94
105,8,10.76,88154.1
84,7,1.35,73672.04
34,8,1.48,38552.81
33,3,0.96,23127.01
41,5,5.29,37525.39
57,3,7.96,39966.04
59,4,4.54,62518.33
94,9,7.54,82584.15
107,9,8.32,84695.59
33,5,10.99,22766.89
101,10,13.29,78624.03
55,7,8.86,48696.62
113,10,4.02,97417.8
119,7,7.36,101345.0
99,6,6.4,79283.88
83,4,1.87,75800.94
58,3,10.06,39109.16
87,9,5.64,78056.99
105,8,6.46,92140.85
65,2,13.03,48606.92
30,1,1.29,28797.49
50,2,9.98,33263.51
119,3,9.87,84220.65
84,3,1.38,65709.71
73,7,11.06,59740.79
65,10,12.11,57298.1
49,2,2.08,39279.18
57,7,3.28,44710.39
73,7,8.28,54235.13
43,10,2.53,47467.73
41,8,3.16,40451.86
78,9,7.21,77304.03
42,5,13.18,42241.17
75,9,1.59,71052.76
74,1,12.22,58677.52
107,2,12.91,79381.12
63,9,1.92,52272.27
35,5,9.96,37209.33
88,6,8.34,80016.12
98,2,0.71,79016.16
45,5,1.85,37427.01
78,7,11.43,68362.5
40,3,3.93,34112.32
100,8,6.39,79791.26
67,1,7.48,49142.53
110,5,13.04,91078.73
109,9,13.59,90642.25
76,3,2.89,74573.41
103,9,0.53,85672.43
54,2,6.16,46678.62
120,5,13.93,95202.25
38,9,11.88,30390.56
35,10,4.64,28930.99
114,4,10.6,86015.93
59,3,11.09,49749.09
67,6,11.86,63196.62
40,3,10.1,20388.93
59,9,7.56,52382.57
42,9,3.25,29572.2
78,1,3.66,61817.85
65,10,1.35,64292.39
88,6,11.17,71777.46
111,8,1.38,93140.69
76,1,5.05,56596.58
50,2,1.23,43031.1
77,6,7.41,71662.66
75,5,13.83,54095.61
56,4,8.2,38371.91
115,1,1.32,96261.02
64,4,7.86,50915.96
119,10,12.84,95020.12
117,2,1.49,99052.75
112,2,1.49,97396.49
39,8,13.0,31660.39
107,2,6.35,85370.48
111,9,14.15,87445.18
51,3,8.76,40030.93
98,3,8.89,80997.56
61,8,1.08,53986.1
50,9,1.69,52497.01
89,3,10.03,60037.9
78,5,8.7,64293.52
64,9,5.09,64893.72
111,10,4.28,93413.95
118,7,10.21,98701.54
101,4,5.06,90078.07
58,9,4.35,56864.55
117,4,2.4,92857.92
71,5,9.86,61672.14
