Transakcija_ID,Datum,Kod_Proizvoda,Cena_Tekst,Količina,Ocena_Kupca,Godine_Kupca,Grad
TXN-10000,2025-12-18 11:00:00,CAT_BEAUTY-447,33.27$,2.0,4.6,47.0,Niš
TXN-10001,2025-03-05 23:00:00,CAT_HOME-466,,2.0,3.7,67.0,Kragujevac
TXN-10002,2025-02-10 04:00:00,CAT_BEAUTY-194,346.97$,1.0,3.2,63.0,Zrenjanin
TXN-10003,2025-09-03 00:00:00,CAT_HOME-828,467.71,1.0,2.4,56.0,Niš
TXN-10004,NEVAŽEĆI_DATUM,CAT_ELEC-423, $225.33 ,2.0,2.4,67.0,Beograd
TXN-10005,2025-05-17 19:00:00,CAT_ELEC-408,29.36,3.0,2.8,35.0,Zrenjanin
TXN-10006,2025-03-01 02:00:00,CAT_BEAUTY-735,$140.13,2.0,3.8,53.0,Subotica
TXN-10007,2025-09-07 19:00:00,CAT_HOME-851,98.59,1.0,1.4,54.0,Niš
TXN-10008,2025-03-18 11:00:00,CAT_HOME-386,57.26$,10.0,2.4,65.0,Novi Sad
TXN-10009,2025-04-16 23:00:00,CAT_BEAUTY-313,$459.93,5.0,3.5,28.0,Subotica
TXN-10010,2025-09-22 04:00:00,CAT_CLOTH-976,$198.6,1.0,3.7,20.0,Beograd
TXN-10011,2025-10-12 07:00:00,CAT_ELEC-694,338.09,1.0,5.0,49.0,Novi Sad
TXN-10012,2025-04-14 06:00:00,CAT_BOOKS-749,389.94,1.0,3.9,41.0,Novi Sad
TXN-10013,2025-11-24 07:00:00,CAT_BEAUTY-113, $151.09 ,1.0,4.3,43.0,Zrenjanin
TXN-10014,2025-01-01 20:00:00,CAT_HOME-599, $204.62 ,1.0,3.5,27.0,Novi Sad
TXN-10015,2025-10-01 11:00:00,CAT_BOOKS-356,208.1$,2.0,5.0,58.0,Zrenjanin
TXN-10016,2025-12-20 04:00:00,CAT_CLOTH-405,183.27,5.0,2.2,44.0,Niš
TXN-10017,2025-10-03 18:00:00,CAT_ELEC-318,436.31$,2.0,1.9,47.0,Beograd
TXN-10018,2025-01-11 19:00:00,CAT_CLOTH-746, $39.33 ,4.0,4.2,19.0,Subotica
TXN-10019,2025-10-04 08:00:00,CAT_CLOTH-682,$367.92,1.0,4.4,66.0,Kragujevac
TXN-10020,2025-10-10 19:00:00,CAT_BOOKS-828, $46.72 ,1.0,3.0,51.0,Beograd
TXN-10021,2025-02-17 22:00:00,CAT_BOOKS-982,,1.0,3.6,19.0,Niš
TXN-10022,2025-05-18 13:00:00,CAT_ELEC-238,$213.07,1.0,5.0,41.0,Niš
TXN-10023,2025-02-28 15:00:00,CAT_CLOTH-264,173.16,1.0,4.0,24.0,Novi Sad
TXN-10024,2025-04-24 03:00:00,CAT_CLOTH-347,64.37$,4.0,3.2,58.0,Kragujevac
TXN-10025,2025-12-06 20:00:00,CAT_CLOTH-547, $266.46 ,3.0,2.2,25.0,Beograd
TXN-10026,2025-09-08 05:00:00,CAT_BOOKS-333,$372.15,2.0,1.3,21.0,Beograd
TXN-10027,2025-07-17 19:00:00,CAT_BOOKS-763,$260.86,4.0,1.7,44.0,Beograd
TXN-10028,2025-04-14 05:00:00,CAT_CLOTH-411,485.56,1.0,1.8,61.0,Novi Sad
TXN-10029,2025-12-24 04:00:00,CAT_BOOKS-411,276.25,5.0,2.1,46.0,Kragujevac
TXN-10030,2025-06-13 15:00:00,CAT_HOME-888,90.57,1.0,2.8,33.0,Subotica
TXN-10031,2025-12-05 13:00:00,CAT_CLOTH-627,$371.67,1.0,1.2,57.0,Kragujevac
TXN-10032,2025-02-16 05:00:00,CAT_CLOTH-552,438.11,5.0,,45.0,Novi Sad
TXN-10033,2025-05-30 21:00:00,CAT_BOOKS-568,35.54,2.0,2.1,57.0,Beograd
TXN-10034,2025-08-24 04:00:00,CAT_HOME-967,$338.63,1.0,,33.0,Novi Sad
TXN-10035,2025-01-28 11:00:00,CAT_BOOKS-936,14.9,4.0,4.6,52.0,Novi Sad
TXN-10036,2025-08-06 18:00:00,CAT_ELEC-833,430.64,3.0,4.0,32.0,Novi Sad
TXN-10037,2025-05-12 14:00:00,CAT_BOOKS-963,57.73,1.0,3.2,48.0,Subotica
TXN-10038,2025-12-10 20:00:00,CAT_ELEC-159, $451.28 ,1.0,2.1,58.0,Kragujevac
TXN-10039,2025-10-08 20:00:00,CAT_BOOKS-412,457.9$,1.0,4.4,33.0,Niš
TXN-10040,2025-11-13 15:00:00,CAT_CLOTH-208, $410.52 ,4.0,,29.0,Kragujevac
TXN-10041,2025-11-13 21:00:00,CAT_BEAUTY-806, $19.5 ,1.0,4.2,28.0,Subotica
TXN-10042,2025-08-08 13:00:00,CAT_BOOKS-720, $94.06 ,1.0,2.7,29.0,Novi Sad
TXN-10043,2025-10-20 06:00:00,CAT_BOOKS-593,461.11,4.0,4.9,27.0,Beograd
TXN-10044,2025-02-22 03:00:00,CAT_HOME-399,$24.48,3.0,2.7,47.0,Beograd
TXN-10045,2025-03-21 04:00:00,CAT_BEAUTY-204,315.99$,1.0,4.7,30.0,Zrenjanin
TXN-10046,2025-03-03 18:00:00,CAT_BOOKS-631,448.62$,2.0,1.3,66.0,Zrenjanin
TXN-10047,2025-03-29 14:00:00,CAT_ELEC-337,307.83,1.0,2.8,57.0,Kragujevac
TXN-10048,2025-03-26 10:00:00,CAT_BOOKS-228,440.03$,2.0,2.6,40.0,Novi Sad
TXN-10049,2025-04-07 23:00:00,CAT_BOOKS-399,471.47$,1.0,1.3,35.0,Subotica
TXN-10050,2025-07-05 23:00:00,CAT_HOME-500, $480.66 ,1.0,1.4,54.0,Subotica
TXN-10051,2025-01-27 12:00:00,CAT_HOME-304,414.79$,5.0,2.6,60.0,Novi Sad
TXN-10052,2025-02-24 17:00:00,CAT_HOME-976, $319.53 ,4.0,4.0,62.0,Kragujevac
TXN-10053,2025-09-16 16:00:00,CAT_HOME-351,66.53$,2.0,3.3,63.0,Niš
TXN-10054,2025-03-30 15:00:00,CAT_BEAUTY-998,267.64$,1.0,3.8,39.0,Zrenjanin
TXN-10055,2025-01-07 10:00:00,CAT_HOME-334,286.76$,1.0,2.3,58.0,Zrenjanin
TXN-10056,,CAT_ELEC-348,79.66$,2.0,3.5,61.0,Beograd
TXN-10057,2025-04-08 14:00:00,CAT_BOOKS-158,22.15$,2.0,2.8,62.0,Beograd
TXN-10058,2025-07-28 00:00:00,CAT_BOOKS-977,$239.05,2.0,3.2,69.0,Subotica
TXN-10059,2025-12-26 16:00:00,CAT_BOOKS-196,70.5,2.0,2.9,40.0,Subotica
TXN-10060,2025-12-26 07:00:00,CAT_HOME-146,420.16$,2.0,3.5,34.0,Niš
TXN-10061,2025-01-26 11:00:00,CAT_BOOKS-329,72.99$,1.0,3.6,67.0,Beograd
TXN-10062,,CAT_BEAUTY-444, $354.58 ,2.0,4.8,29.0,Zrenjanin
TXN-10063,2025-11-03 15:00:00,CAT_CLOTH-972, $442.65 ,4.0,3.3,66.0,Zrenjanin
TXN-10064,2025-03-01 02:00:00,CAT_CLOTH-536, $421.68 ,1.0,4.3,48.0,Niš
TXN-10065,,CAT_CLOTH-847,306.82,2.0,3.1,36.0,Niš
TXN-10066,2025-02-05 10:00:00,CAT_BOOKS-618,$350.14,1.0,4.2,40.0,Zrenjanin
TXN-10067,2025-06-22 18:00:00,CAT_CLOTH-378,428.97,4.0,2.8,51.0,
TXN-10068,2025-06-09 15:00:00,CAT_ELEC-715,20.77$,1.0,4.6,26.0,Subotica
TXN-10069,2025-11-08 09:00:00,CAT_BEAUTY-661,115.75,2.0,3.4,27.0,Subotica
TXN-10070,2025-04-10 08:00:00,CAT_HOME-962,486.3,1.0,1.0,35.0,Kragujevac
TXN-10071,2025-12-17 07:00:00,CAT_HOME-348, $115.83 ,3.0,3.7,18.0,Beograd
TXN-10072,2025-05-26 21:00:00,CAT_HOME-279,$309.96,2.0,1.7,20.0,Niš
TXN-10073,2025-12-06 18:00:00,CAT_ELEC-864, $43.29 ,5.0,1.6,21.0,Subotica
TXN-10074,2025-09-10 02:00:00,CAT_BOOKS-586,$288.97,2.0,4.9,32.0,Kragujevac
TXN-10075,2025-04-05 23:00:00,CAT_BOOKS-591, $213.08 ,3.0,3.8,61.0,Novi Sad
TXN-10076,2025-11-26 02:00:00,CAT_BEAUTY-202,126.45,1.0,4.5,34.0,Subotica
TXN-10077,2025-05-04 21:00:00,CAT_HOME-528, $129.66 ,1.0,4.5,60.0,Novi Sad
TXN-10078,2025-07-26 10:00:00,CAT_ELEC-961, $459.32 ,2.0,3.0,35.0,Subotica
TXN-10079,2025-01-21 18:00:00,CAT_CLOTH-963,99.92,1.0,2.9,19.0,Novi Sad
TXN-10080,2025-10-13 15:00:00,CAT_CLOTH-123,495.68,1.0,2.2,55.0,Subotica
TXN-10081,2025-01-28 17:00:00,CAT_BOOKS-531, $269.95 ,1.0,3.0,57.0,Zrenjanin
TXN-10082,2025-08-27 06:00:00,CAT_BOOKS-539,$355.76,5.0,,23.0,Novi Sad
TXN-10083,2025-01-30 06:00:00,CAT_BEAUTY-297,263.31$,2.0,2.6,58.0,
TXN-10084,NEVAŽEĆI_DATUM,CAT_BOOKS-550,$271.88,2.0,2.1,30.0,Novi Sad
TXN-10085,2025-06-22 02:00:00,CAT_HOME-211,138.11,1.0,4.2,62.0,Kragujevac
TXN-10086,2025-03-20 16:00:00,CAT_ELEC-369,$45.31,2.0,,48.0,Novi Sad
TXN-10087,2025-04-01 14:00:00,CAT_ELEC-965,$10.27,1.0,3.8,57.0,Niš
TXN-10088,2025-01-02 06:00:00,CAT_BOOKS-489,330.51$,2.0,3.0,36.0,Kragujevac
TXN-10089,2025-04-07 00:00:00,CAT_BEAUTY-149,$44.01,1.0,4.7,42.0,Zrenjanin
TXN-10090,NEVAŽEĆI_DATUM,CAT_BOOKS-850,$410.19,2.0,1.4,55.0,Novi Sad
TXN-10091,2025-01-23 14:00:00,CAT_CLOTH-178, $54.75 ,10.0,1.1,45.0,Kragujevac
TXN-10092,2025-11-24 09:00:00,CAT_BOOKS-161, $62.42 ,2.0,1.5,50.0,Beograd
TXN-10093,2025-09-30 23:00:00,CAT_BEAUTY-727,$190.01,2.0,5.0,41.0,Zrenjanin
TXN-10094,2025-11-24 09:00:00,CAT_HOME-177,454.79,1.0,4.3,33.0,Zrenjanin
TXN-10095,2025-08-12 07:00:00,CAT_BOOKS-402, $395.16 ,2.0,4.7,59.0,Zrenjanin
TXN-10096,2025-07-12 12:00:00,CAT_ELEC-949,403.08,1.0,3.7,24.0,Kragujevac
TXN-10097,2025-08-12 15:00:00,CAT_HOME-549,47.28,4.0,2.4,66.0,Zrenjanin
TXN-10098,2025-02-22 07:00:00,CAT_BOOKS-558,128.67$,1.0,4.7,41.0,Niš
TXN-10099,2025-03-15 22:00:00,CAT_BEAUTY-663, $238.21 ,1.0,4.8,18.0,Subotica
TXN-10100,2025-04-08 06:00:00,CAT_HOME-169, $205.74 ,1.0,2.2,26.0,Novi Sad
TXN-10101,2025-10-24 17:00:00,CAT_HOME-415,334.02$,1.0,3.6,58.0,Subotica
TXN-10102,2025-07-31 01:00:00,CAT_BEAUTY-938,,2.0,4.8,69.0,Novi Sad
TXN-10103,2025-08-21 15:00:00,CAT_BOOKS-817,262.06$,3.0,4.2,53.0,Niš
TXN-10104,2025-09-29 18:00:00,CAT_CLOTH-886,$31.4,1.0,1.2,59.0,Beograd
TXN-10105,NEVAŽEĆI_DATUM,CAT_ELEC-957,286.48$,1.0,3.0,30.0,Zrenjanin
TXN-10106,2025-06-12 05:00:00,CAT_HOME-216,148.89,2.0,2.0,67.0,Zrenjanin
TXN-10107,2025-06-04 20:00:00,CAT_BOOKS-587,$72.27,1.0,1.3,18.0,Zrenjanin
TXN-10108,2025-04-26 20:00:00,CAT_HOME-681,154.38,1.0,3.8,61.0,Kragujevac
TXN-10109,2025-05-01 00:00:00,CAT_BEAUTY-255,175.27,1.0,3.3,32.0,Subotica
TXN-10110,2025-05-13 19:00:00,CAT_CLOTH-991,186.93,3.0,4.3,40.0,Niš
TXN-10111,2025-11-06 09:00:00,CAT_HOME-188,$258.44,1.0,1.9,52.0,Niš
TXN-10112,2025-08-28 03:00:00,CAT_BEAUTY-995,$266.11,3.0,4.0,23.0,Zrenjanin
TXN-10113,2025-11-24 05:00:00,CAT_BOOKS-126, $478.14 ,1.0,3.6,52.0,Novi Sad
TXN-10114,,CAT_HOME-963, $220.83 ,2.0,2.7,19.0,Kragujevac
TXN-10115,NEVAŽEĆI_DATUM,CAT_BEAUTY-492, $165.66 ,2.0,2.4,32.0,Zrenjanin
TXN-10116,2025-03-12 09:00:00,CAT_ELEC-624,153.47,5.0,1.1,39.0,Kragujevac
TXN-10117,NEVAŽEĆI_DATUM,CAT_BOOKS-223, $492.4 ,2.0,2.0,54.0,Kragujevac
TXN-10118,2025-04-03 20:00:00,CAT_HOME-742,217.0,1.0,4.7,33.0,Subotica
TXN-10119,2025-11-10 09:00:00,CAT_ELEC-461,350.54$,1.0,1.4,38.0,Novi Sad
TXN-10120,2025-04-02 19:00:00,CAT_BEAUTY-911, $447.83 ,5.0,3.9,59.0,Zrenjanin
TXN-10121,2025-05-06 06:00:00,CAT_HOME-429,295.64$,2.0,2.5,38.0,Beograd
TXN-10122,2025-06-20 20:00:00,CAT_BOOKS-492,25.16,2.0,3.3,21.0,Subotica
TXN-10123,2025-03-30 08:00:00,CAT_HOME-940,444.84,1.0,4.7,37.0,Zrenjanin
TXN-10124,2025-06-02 19:00:00,CAT_CLOTH-635, $289.83 ,2.0,1.9,49.0,Zrenjanin
TXN-10125,2025-04-06 11:00:00,CAT_CLOTH-657,268.16,2.0,4.0,67.0,Subotica
TXN-10126,2025-03-08 18:00:00,CAT_CLOTH-965, $429.67 ,5.0,2.4,43.0,Novi Sad
TXN-10127,2025-03-30 14:00:00,CAT_BOOKS-149,$445.57,1.0,3.6,24.0,Zrenjanin
TXN-10128,2025-10-30 14:00:00,CAT_BEAUTY-238,32.55,1.0,1.8,26.0,Niš
TXN-10129,2025-10-05 06:00:00,CAT_CLOTH-185,174.63,2.0,2.5,31.0,Subotica
