ID_Porudzbine,Datum,Proizvod,Kategorija,Kolicina,Prodajna_Cena,Nabavna_Cena,Grad
ORD_10000,2026-01-15,HP Pavilion Gaming,Elektronika,1.0,878.66 RSD,680,
ORD_10001,2025-02-14,HP Pavilion Gaming,Elektronika,,988.14 RSD,680,Subotica
ORD_10002,2025-09-16,Samsung S24 Ultra,Elektronika,2.0,1295.32 RSD,900,
ORD_10003,2025-04-23,Dell Monitor 27,Elektronika,4.0,290.92 RSD,180,Subotica
ORD_10004,2025-06-24,iPhone 15 Pro,Elektronika,4.0,1057.44 RSD,850,Novi Sad
ORD_10005,2025-07-14,HP Pavilion Gaming,Elektronika,1.0,837.14,680,Kragujevac
ORD_10006,2026-01-09,Radni Sto Podesivi,Namestaj,1.0,215.4 RSD,120,Nis
ORD_10007,2025-05-31,HP Pavilion Gaming,Elektronika,5.0,972.07 RSD,680,Novi Sad
ORD_10008,2025-12-27,Slusalice ANC,Periferije,2.0,106.72,50,Novi Sad
ORD_10009,2026-03-20,HP Pavilion Gaming,Elektronika,2.0,942.03 RSD,680,
ORD_10010,2025-07-09,Kancelarijska Stolica,Namestaj,2.0,128.12 RSD,70,
ORD_10011,2025-11-22,HP Pavilion Gaming,Elektronika,5.0,991.78 RSD,680,Beograd
ORD_10012,2025-05-19,Gaming Mis RGB,Periferije,4.0,50.82 RSD,20,Kragujevac
ORD_10013,2026-03-08,Samsung S24 Ultra,Elektronika,3.0,1160.21 RSD,900,Subotica
ORD_10014,2025-05-18,Kancelarijska Stolica,Namestaj,4.0,132.95,70,Kragujevac
ORD_10015,2025-12-02,Kancelarijska Stolica,Namestaj,2.0,133.0 RSD,70,
ORD_10016,2025-05-16,Gaming Mis RGB,Periferije,2.0,45.54 RSD,20,Kragujevac
ORD_10017,2025-08-08,Radni Sto Podesivi,Namestaj,5.0,238.74 RSD,120,Beograd
ORD_10018,2025-09-10,iPhone 15 Pro,Elektronika,,1123.67,850,Subotica
ORD_10019,2026-02-10,iPhone 15 Pro,Elektronika,2.0,1089.89 RSD,850,Nis
ORD_10020,2025-08-28,Mehanicka Tastatura,Periferije,5.0,77.79 RSD,35,Subotica
ORD_10021,2026-01-20,HP Pavilion Gaming,Elektronika,5.0,834.0 RSD,680,Subotica
ORD_10022,2025-03-22,Radni Sto Podesivi,Namestaj,4.0,227.11 RSD,120,
ORD_10023,2026-01-26,Radni Sto Podesivi,Namestaj,5.0,230.82 RSD,120,
ORD_10024,2025-11-08,Radni Sto Podesivi,Namestaj,5.0,235.3 RSD,120,Beograd
ORD_10025,2025-01-01,Dell Monitor 27,Elektronika,5.0,302.11 RSD,180,Subotica
ORD_10026,2025-05-03,Kancelarijska Stolica,Namestaj,3.0,133.49,70,Subotica
ORD_10027,2026-02-22,HP Pavilion Gaming,Elektronika,4.0,905.2,680,Beograd
ORD_10028,2025-10-09,iPhone 15 Pro,Elektronika,4.0,1162.18 RSD,850,Kragujevac
ORD_10029,2025-10-04,Mehanicka Tastatura,Periferije,2.0,68.74 RSD,35,
ORD_10030,2025-12-10,Radni Sto Podesivi,Namestaj,4.0,242.88 RSD,120,Kragujevac
ORD_10031,2025-05-07,Gaming Mis RGB,Periferije,1.0,44.21 RSD,20,Kragujevac
ORD_10032,2025-10-29,Dell Monitor 27,Elektronika,2.0,258.9 RSD,180,
ORD_10033,2025-02-04,Laptop ASUS ZenBook,Elektronika,2.0,1143.75 RSD,750,Subotica
ORD_10034,2025-05-23,Dell Monitor 27,Elektronika,2.0,312.94 RSD,180,Beograd
ORD_10035,2025-08-31,Slusalice ANC,Periferije,5.0,111.28 RSD,50,Nis
ORD_10036,2025-02-19,Samsung S24 Ultra,Elektronika,1.0,1184.2 RSD,900,Nis
ORD_10037,2025-12-11,Gaming Mis RGB,Periferije,1.0,43.48 RSD,20,Subotica
ORD_10038,2026-02-14,Mehanicka Tastatura,Periferije,3.0,78.95 RSD,35,Beograd
ORD_10039,2025-03-13,Dell Monitor 27,Elektronika,4.0,281.41 RSD,180,Beograd
ORD_10040,2026-02-18,HP Pavilion Gaming,Elektronika,4.0,830.69 RSD,680,Subotica
ORD_10041,2025-02-17,Dell Monitor 27,Elektronika,1.0,284.71 RSD,180,Beograd
ORD_10042,2025-09-04,Mehanicka Tastatura,Periferije,4.0,68.55 RSD,35,Subotica
ORD_10043,2025-01-02,iPhone 15 Pro,Elektronika,4.0,1238.24 RSD,850,Nis
ORD_10044,2025-12-23,Radni Sto Podesivi,Namestaj,4.0,225.44 RSD,120,Kragujevac
ORD_10045,2025-04-08,Gaming Mis RGB,Periferije,2.0,49.13 RSD,20,Kragujevac
ORD_10046,2026-01-18,Dell Monitor 27,Elektronika,1.0,273.7 RSD,180,Nis
ORD_10047,2025-03-22,Dell Monitor 27,Elektronika,5.0,286.2,180,Beograd
ORD_10048,2025-02-04,HP Pavilion Gaming,Elektronika,5.0,911.37 RSD,680,Subotica
ORD_10049,2025-10-24,Slusalice ANC,Periferije,2.0,97.57 RSD,50,Nis
ORD_10050,2025-09-25,Slusalice ANC,Periferije,5.0,114.83 RSD,50,
ORD_10051,2025-05-16,Kancelarijska Stolica,Namestaj,2.0,150.75 RSD,70,Novi Sad
ORD_10052,2026-01-20,Gaming Mis RGB,Periferije,,51.89 RSD,20,Kragujevac
ORD_10053,2025-02-07,Slusalice ANC,Periferije,1.0,113.19 RSD,50,Beograd
ORD_10054,2026-03-27,Kancelarijska Stolica,Namestaj,1.0,145.44 RSD,70,Nis
ORD_10055,2025-11-10,Dell Monitor 27,Elektronika,3.0,310.31 RSD,180,Kragujevac
ORD_10056,2025-06-03,Laptop ASUS ZenBook,Elektronika,5.0,954.47 RSD,750,Beograd
ORD_10057,2025-02-24,Radni Sto Podesivi,Namestaj,1.0,222.3 RSD,120,Novi Sad
ORD_10058,2026-01-03,Slusalice ANC,Periferije,2.0,94.5 RSD,50,Novi Sad
ORD_10059,2025-05-09,Dell Monitor 27,Elektronika,4.0,274.52 RSD,180,Subotica
ORD_10060,2025-01-23,Mehanicka Tastatura,Periferije,3.0,74.22,35,
ORD_10061,2026-01-15,Radni Sto Podesivi,Namestaj,2.0,226.07 RSD,120,Kragujevac
ORD_10062,2025-02-08,Laptop ASUS ZenBook,Elektronika,1.0,1117.32 RSD,750,Beograd
ORD_10063,2026-03-04,Dell Monitor 27,Elektronika,1.0,276.41 RSD,180,Nis
ORD_10064,2025-06-07,iPhone 15 Pro,Elektronika,1.0,1087.42 RSD,850,Subotica
ORD_10065,2025-12-16,Kancelarijska Stolica,Namestaj,2.0,143.78 RSD,70,Kragujevac
ORD_10066,2026-01-19,Mehanicka Tastatura,Periferije,5.0,70.25 RSD,35,Beograd
ORD_10067,2025-01-13,iPhone 15 Pro,Elektronika,4.0,1212.53 RSD,850,Nis
ORD_10068,2025-03-23,Samsung S24 Ultra,Elektronika,3.0,1124.38 RSD,900,Subotica
ORD_10069,2025-04-13,Gaming Mis RGB,Periferije,2.0,52.37 RSD,20,Novi Sad
ORD_10070,2025-01-13,Samsung S24 Ultra,Elektronika,2.0,1305.78 RSD,900,Novi Sad
ORD_10071,2025-06-29,HP Pavilion Gaming,Elektronika,3.0,845.26 RSD,680,Kragujevac
ORD_10072,2025-03-01,Kancelarijska Stolica,Namestaj,1.0,127.67 RSD,70,Kragujevac
ORD_10073,2025-02-25,Radni Sto Podesivi,Namestaj,1.0,253.27 RSD,120,Novi Sad
ORD_10074,2025-09-19,Mehanicka Tastatura,Periferije,5.0,79.31 RSD,35,Beograd
ORD_10075,2025-12-29,Radni Sto Podesivi,Namestaj,1.0,248.95 RSD,120,Kragujevac
ORD_10076,2025-08-09,Samsung S24 Ultra,Elektronika,3.0,1305.53,900,Novi Sad
ORD_10077,2025-12-06,Slusalice ANC,Periferije,3.0,95.13 RSD,50,Novi Sad
ORD_10078,2025-12-08,Dell Monitor 27,Elektronika,3.0,276.51 RSD,180,Novi Sad
ORD_10079,2025-04-09,Dell Monitor 27,Elektronika,2.0,261.95 RSD,180,
ORD_10080,2025-10-19,iPhone 15 Pro,Elektronika,5.0,1227.14 RSD,850,Subotica
ORD_10081,2025-04-18,Radni Sto Podesivi,Namestaj,3.0,243.66 RSD,120,
ORD_10082,2025-08-15,Kancelarijska Stolica,Namestaj,4.0,137.43 RSD,70,Nis
ORD_10083,2025-05-26,iPhone 15 Pro,Elektronika,1.0,1035.25 RSD,850,Novi Sad
ORD_10084,2025-12-11,HP Pavilion Gaming,Elektronika,2.0,866.59 RSD,680,Beograd
ORD_10085,2025-05-06,Laptop ASUS ZenBook,Elektronika,1.0,1006.54 RSD,750,Subotica
ORD_10086,2025-11-19,Gaming Mis RGB,Periferije,4.0,49.8 RSD,20,Nis
ORD_10087,2025-05-05,Gaming Mis RGB,Periferije,4.0,48.88 RSD,20,Subotica
ORD_10088,2025-04-01,Mehanicka Tastatura,Periferije,2.0,82.2 RSD,35,Nis
ORD_10089,2025-05-08,Laptop ASUS ZenBook,Elektronika,5.0,1038.89 RSD,750,Beograd
ORD_10090,2025-10-14,Gaming Mis RGB,Periferije,5.0,43.7 RSD,20,Nis
ORD_10091,2025-08-07,Slusalice ANC,Periferije,5.0,109.19 RSD,50,Beograd
ORD_10092,2025-05-13,Gaming Mis RGB,Periferije,4.0,50.11 RSD,20,Novi Sad
ORD_10093,2025-11-17,Dell Monitor 27,Elektronika,4.0,288.68 RSD,180,
ORD_10094,2025-05-20,Radni Sto Podesivi,Namestaj,2.0,251.05 RSD,120,Subotica
ORD_10095,2025-04-29,iPhone 15 Pro,Elektronika,2.0,1138.51 RSD,850,Beograd
ORD_10096,2025-07-28,HP Pavilion Gaming,Elektronika,4.0,906.82 RSD,680,Subotica
ORD_10097,2025-07-19,Samsung S24 Ultra,Elektronika,4.0,1216.16 RSD,900,
