Order_ID,Product_ID,Kolicina,Datum_Prodaje,Popust_%
ORD-1000,prod_01,8,2025-05-30,0.8
ORD-1001,PROD-01,9,2025-09-25,0.0
ORD-1002,PROD-03,3,2025-05-28,0.2
ORD-1003,PROD-03,5,2025-05-24,0.8
ORD-1004,PROD-04,1,2025-10-09,0.1
ORD-1005,PROD-02,6,2025-04-18,0.2
ORD-1006,prod_01,1,2025-01-09,0.8
ORD-1007,PROD-04,2,2025-12-26,0.1
ORD-1008,PROD-02,3,2025-11-16,0.1
ORD-1009,PROD-02,3,2026-02-25,0.1
ORD-1010,PROD-02,3,2026-11-18,0.5
ORD-1011,PROD-01,7,2025-01-03,0.5
ORD-1012,PROD-02,8,2025-10-23,0.8
ORD-1013,PROD-99,6,2025-04-30,0.0
ORD-1014,PROD-04,1,2026-10-09,0.2
ORD-1015,PROD-01,1,2025-05-04,0.2
ORD-1016,PROD-02,6,2026-08-15,0.5
ORD-1017,PROD-01,1,2025-11-08,0.0
ORD-1018,PROD-01,7,2026-02-06,0.0
ORD-1019,PROD-05,8,2025-05-11,0.5
ORD-1020,PROD-02,8,2026-05-15,0.1
ORD-1021,PROD-01,3,2025-01-21,0.8
ORD-1022,PROD-04,9,2025-02-26,0.1
ORD-1023,PROD-04,1,2025-04-01,0.5
ORD-1024,PROD-05,2,2026-06-15,0.1
ORD-1025,PROD-05,6,2026-12-27,0.0
ORD-1026,PROD-02,5,2025-10-01,0.0
ORD-1027,PROD-01,4,2026-12-11,0.2
ORD-1028,PROD-01,8,2026-06-11,0.0
ORD-1029,PROD-01,5,2025-04-13,0.2
ORD-1030,PROD-05,4,2026-06-26,0.5
ORD-1031,PROD-02,2,2026-08-30,0.8
ORD-1032,PROD-04,3,2026-05-07,0.8
ORD-1033,PROD-05,3,2025-01-11,0.5
ORD-1034,PROD-03,2,2025-09-21,0.8
ORD-1035,PROD-01,3,2026-12-26,0.2
ORD-1036,PROD-03,7,2025-06-13,0.5
ORD-1037,PROD-04,1,2025-01-31,0.5
ORD-1038,PROD-03,3,2026-07-30,0.1
ORD-1039,PROD-03,8,2025-07-20,0.5
ORD-1040,PROD-05,5,2026-06-20,0.8
ORD-1041,PROD-04,8,2025-01-20,0.0
ORD-1042,PROD-02,8,2026-10-20,0.8
ORD-1043,PROD-02,1,2026-12-05,0.8
ORD-1044,PROD-03,2,2026-10-18,0.8
ORD-1045,prod_01,1,2025-03-12,0.1
ORD-1046,PROD-02,1,2026-04-08,0.1
ORD-1047,PROD-05,6,2026-09-02,0.0
ORD-1048,PROD-04,2,2026-03-22,0.1
ORD-1049,PROD-02,8,2025-03-27,0.8
ORD-1050,PROD-03,5,2025-11-19,0.2
ORD-1051,PROD-02,7,2025-11-06,0.1
ORD-1052,PROD-04,8,2025-08-26,0.8
ORD-1053,PROD-99,5,2026-03-14,0.2
ORD-1054,PROD-99,3,2026-04-26,0.2
ORD-1055,PROD-02,1,2026-07-15,0.0
ORD-1056,PROD-02,8,2025-02-01,0.1
ORD-1057,PROD-01,4,2025-04-07,0.2
ORD-1058,PROD-04,2,2026-09-13,0.0
ORD-1059,PROD-04,4,2025-10-15,0.8
ORD-1060,PROD-01,2,2025-09-20,0.8
ORD-1061,PROD-04,6,2026-05-08,0.8
ORD-1062,PROD-03,2,2026-10-20,0.5
ORD-1063,PROD-03,2,2026-03-05,0.1
ORD-1064,PROD-99,8,2026-06-16,0.1
ORD-1065,PROD-02,3,2026-12-11,0.1
ORD-1066,PROD-02,7,2026-06-07,0.2
ORD-1067,PROD-04,9,2026-09-27,0.8
ORD-1068,PROD-05,8,2026-10-08,0.1
ORD-1069,PROD-05,7,2026-08-18,0.1
ORD-1070,PROD-03,3,2026-04-30,0.8
ORD-1071,PROD-04,1,2025-02-17,0.8
ORD-1072,PROD-01,3,2026-10-21,0.2
ORD-1073,PROD-02,4,2025-06-22,0.1
ORD-1074,PROD-99,7,2025-04-03,0.2
ORD-1075,PROD-02,8,2026-04-09,0.1
ORD-1076,PROD-03,4,2026-06-21,0.5
ORD-1077,PROD-01,9,2026-01-04,0.5
ORD-1078,PROD-99,7,2025-07-08,0.0
ORD-1079,PROD-02,7,2026-12-24,0.5
