,Datum,Grad,Proizvod,Cena_RSD,Količina,Zarada
0,2025-04-26,Kragujevac,Miš,850000,3,2550000
1,2025-07-10,Beograd,Laptop,114993,6,689958
2,2025-04-02,Kragujevac,Laptop,74576,3,223728
3,2025-06-05,Kragujevac,Slušalice,115170,6,691020
4,2025-09-22,Kragujevac,Monitor,128898,6,773388
5,2025-06-22,Kragujevac,Tastatura,58648,1,58648
6,2025-04-01,Niš,Tastatura,2381,6,14286
7,2025-09-14,Kragujevac,Monitor,52819,3,158457
8,2025-02-12,Beograd,Laptop,32755,8,262040
9,2025-10-06,Niš,Laptop,51089,9,459801
10,2025-09-08,Beograd,Laptop,73370,3,220110
11,2025-08-07,Novi Sad,Tastatura,40820,9,367380
12,2025-11-08,Novi Sad,Miš,123960,7,867720
13,2025-09-02,Beograd,Miš,43479,9,391311
14,2025-09-17,Kragujevac,Monitor,12628,5,63140
15,2025-07-20,Beograd,Slušalice,28933,3,86799
16,2025-09-20,Novi Sad,Miš,22706,1,22706
17,2025-07-11,Novi Sad,Laptop,99624,6,597744
18,2025-02-28,Novi Sad,Tastatura,91610,1,91610
19,2025-07-29,Novi Sad,Monitor,119035,6,714210
20,2025-12-18,Niš,Miš,21801,7,152607
21,2025-05-20,Kragujevac,Tastatura,139092,6,834552
22,2025-12-25,Kragujevac,Monitor,22781,8,182248
23,2025-03-17,Beograd,Slušalice,70204,4,280816
24,2025-01-17,Novi Sad,Miš,85061,2,170122
25,2025-06-08,Beograd,Slušalice,65269,2,130538
26,2025-07-13,Novi Sad,Slušalice,64411,1,64411
27,2025-05-17,Kragujevac,Laptop,148964,6,893784
28,2025-05-21,Kragujevac,Slušalice,48024,7,336168
29,2025-08-01,Novi Sad,Laptop,10027,8,80216
30,2025-04-11,Niš,Miš,101821,2,203642
31,2025-06-16,Novi Sad,Slušalice,88399,6,530394
32,2025-04-17,Beograd,Monitor,69861,7,489027
33,2025-02-13,Niš,Laptop,34816,6,208896
34,2025-05-01,Beograd,Miš,131497,1,131497
35,2025-06-16,Novi Sad,Miš,138429,1,138429
36,2025-07-03,Novi Sad,Laptop,104668,2,209336
37,2025-05-21,Niš,Miš,96038,8,768304
38,2025-04-09,Novi Sad,Slušalice,80759,6,484554
39,2025-02-14,Kragujevac,Miš,8186,7,57302
40,2025-12-03,Beograd,Tastatura,99196,4,396784
41,2025-07-07,Niš,Tastatura,66900,9,602100
42,2025-01-27,Beograd,Laptop,7370,3,22110
43,2025-03-18,Kragujevac,Slušalice,149686,1,149686
44,2025-07-26,Kragujevac,Slušalice,112900,5,564500
45,2025-03-26,Kragujevac,Laptop,145280,1,145280
46,2025-09-06,Kragujevac,Miš,10959,2,21918
47,2025-10-22,Kragujevac,Miš,21655,4,86620
48,2025-01-29,Niš,Tastatura,37087,9,333783
49,2025-06-15,Kragujevac,Slušalice,55222,7,386554
50,2025-03-12,Novi Sad,Monitor,94747,6,568482
51,2025-04-21,Niš,Slušalice,50103,2,100206
52,2025-04-30,Beograd,Tastatura,124135,9,1117215
53,2025-01-28,Kragujevac,Slušalice,64698,5,323490
54,2025-08-17,Niš,Slušalice,113477,1,113477
55,2025-09-29,Beograd,Laptop,16254,7,113778
56,2025-11-04,Niš,Monitor,6580,5,32900
57,2025-12-14,Kragujevac,Slušalice,137020,4,548080
58,2025-05-01,Kragujevac,Monitor,132088,3,396264
59,2025-06-18,Beograd,Tastatura,118736,9,1068624
60,2025-10-01,Novi Sad,Monitor,130776,4,523104
61,2025-08-20,Kragujevac,Tastatura,50734,5,253670
62,2025-11-19,Kragujevac,Slušalice,78452,3,235356
63,2025-01-05,Novi Sad,Laptop,36821,9,331389
64,2025-04-07,Kragujevac,Laptop,89565,3,268695
65,2025-02-22,Novi Sad,Tastatura,18427,2,36854
66,2025-08-01,Novi Sad,Miš,45288,2,90576
67,2025-05-06,Kragujevac,Monitor,4040,5,20200
68,2025-09-18,Niš,Tastatura,97116,4,388464
69,2025-08-04,Novi Sad,Laptop,102119,4,408476
70,2025-08-11,Niš,Tastatura,40007,4,160028
71,2025-03-08,Novi Sad,Laptop,122096,4,488384
72,2025-12-02,Niš,Slušalice,57107,5,285535
73,2025-11-19,Niš,Slušalice,13361,9,120249
74,2025-12-24,Kragujevac,Miš,108850,5,544250
75,2025-07-21,Niš,Miš,63769,8,510152
76,2025-09-23,Niš,Miš,101104,3,303312
77,2025-01-15,Niš,Laptop,26733,9,240597
78,2025-01-30,Niš,Tastatura,48746,3,146238
79,2025-01-08,Niš,Miš,127631,1,127631
80,2025-10-07,Kragujevac,Slušalice,98390,5,491950
81,2025-12-06,Novi Sad,Slušalice,115045,1,115045
82,2025-01-29,Niš,Miš,6191,6,37146
83,2025-09-21,Kragujevac,Tastatura,43340,9,390060
84,2025-09-18,Niš,Miš,21435,2,42870
85,2025-12-27,Beograd,Slušalice,15804,7,110628
86,2025-08-18,Beograd,Laptop,38803,2,77606
87,2025-08-12,Kragujevac,Laptop,9809,2,19618
88,2025-09-01,Niš,Miš,106911,2,213822
89,2025-07-10,Kragujevac,Slušalice,141341,9,1272069
90,2025-02-03,Beograd,Tastatura,86315,8,690520
91,2025-02-20,Kragujevac,Tastatura,133124,4,532496
92,2025-09-25,Kragujevac,Slušalice,53181,9,478629
93,2025-07-08,Kragujevac,Tastatura,88768,1,88768
94,2025-10-11,Novi Sad,Monitor,52164,6,312984
95,2025-09-23,Niš,Laptop,40232,9,362088
96,2025-05-25,Kragujevac,Miš,127587,1,127587
97,2025-07-26,Beograd,Miš,66049,9,594441
98,2025-10-14,Novi Sad,Tastatura,80241,6,481446
99,2025-12-28,Beograd,Tastatura,19870,5,99350
100,2025-07-09,Kragujevac,Miš,63368,8,506944
101,2025-06-21,Niš,Miš,93340,1,93340
102,2025-11-04,Kragujevac,Miš,101290,5,506450
103,2025-04-22,Beograd,Miš,81020,8,648160
104,2025-05-19,Kragujevac,Monitor,78201,3,234603
105,2025-01-22,Beograd,Monitor,125259,8,1002072
106,2025-12-15,Kragujevac,Tastatura,21101,8,168808
107,2025-03-05,Beograd,Miš,6988,6,41928
108,2025-11-03,Beograd,Slušalice,109227,7,764589
109,2025-12-18,Kragujevac,Monitor,7973,7,55811
110,2025-07-16,Niš,Miš,4694,3,14082
111,2025-12-13,Novi Sad,Tastatura,126223,1,126223
112,2025-03-19,Niš,Monitor,54035,1,54035
113,2025-02-19,Beograd,Monitor,36663,1,36663
114,2025-02-23,Niš,Monitor,130187,6,781122
115,2025-04-04,Novi Sad,Slušalice,83839,9,754551
116,2025-10-23,Novi Sad,Tastatura,3444,4,13776
117,2025-09-08,Kragujevac,Monitor,81855,6,491130
118,2025-04-08,Beograd,Slušalice,47901,4,191604
119,2025-04-28,Beograd,Slušalice,55352,9,498168
120,2025-07-16,Niš,Monitor,87384,1,87384
121,2025-01-08,Novi Sad,Laptop,28762,8,230096
122,2025-10-13,Niš,Laptop,137959,1,137959
123,2025-05-27,Kragujevac,Miš,42816,1,42816
124,2025-03-31,Beograd,Monitor,146265,5,731325
125,2025-02-18,Beograd,Monitor,48390,4,193560
126,2025-11-06,Novi Sad,Miš,149277,5,746385
127,2025-05-26,Niš,Tastatura,13782,1,13782
128,2025-12-07,Kragujevac,Tastatura,102359,1,102359
129,2025-05-31,Niš,Tastatura,28869,9,259821
130,2025-02-01,Niš,Laptop,2338,1,2338
