Datum,Grad,Proizvod,Cena_RSD,Količina
2025-04-26,Kragujevac,Miš,850000,3
2025-07-10,Beograd,Laptop,114993,6
2025-04-02,Kragujevac,Laptop,74576,3
2025-06-05,Kragujevac,Slušalice,115170,6
2025-09-22,Kragujevac,Monitor,128898,6
2025-06-22,Kragujevac,Tastatura,58648,1
2025-04-01,Niš,Tastatura,2381,6
2025-09-14,Kragujevac,Monitor,52819,3
2025-02-12,Beograd,Laptop,32755,8
2025-10-06,Niš,Laptop,51089,9
2025-09-08,Beograd,Laptop,73370,3
2025-08-07,Novi Sad,Tastatura,40820,9
2025-11-08,Novi Sad,Miš,123960,7
2025-09-02,Beograd,Miš,43479,9
2025-09-17,Kragujevac,Monitor,12628,5
2025-07-20,Beograd,Slušalice,28933,3
2025-09-20,Novi Sad,Miš,22706,1
2025-07-11,Novi Sad,Laptop,99624,6
2025-02-28,Novi Sad,Tastatura,91610,1
2025-07-29,Novi Sad,Monitor,119035,6
2025-12-18,Niš,Miš,21801,7
2025-05-20,Kragujevac,Tastatura,139092,6
2025-12-25,Kragujevac,Monitor,22781,8
2025-03-17,Beograd,Slušalice,70204,4
2025-01-17,Novi Sad,Miš,85061,2
2025-06-08,Beograd,Slušalice,65269,2
2025-07-13,Novi Sad,Slušalice,64411,1
2025-05-17,Kragujevac,Laptop,148964,6
2025-05-21,Kragujevac,Slušalice,48024,7
2025-08-01,Novi Sad,Laptop,10027,8
2025-04-11,Niš,Miš,101821,2
2025-06-16,Novi Sad,Slušalice,88399,6
2025-04-17,Beograd,Monitor,69861,7
2025-02-13,Niš,Laptop,34816,6
2025-05-01,Beograd,Miš,131497,1
2025-06-16,Novi Sad,Miš,138429,1
2025-07-03,Novi Sad,Laptop,104668,2
2025-05-21,Niš,Miš,96038,8
2025-04-09,Novi Sad,Slušalice,80759,6
2025-02-14,Kragujevac,Miš,8186,7
2025-12-03,Beograd,Tastatura,99196,4
2025-07-07,Niš,Tastatura,66900,9
2025-01-27,Beograd,Laptop,7370,3
2025-03-18,Kragujevac,Slušalice,149686,1
2025-07-26,Kragujevac,Slušalice,112900,5
2025-03-26,Kragujevac,Laptop,145280,1
2025-09-06,Kragujevac,Miš,10959,2
2025-10-22,Kragujevac,Miš,21655,4
2025-01-29,Niš,Tastatura,37087,9
2025-06-15,Kragujevac,Slušalice,55222,7
2025-03-12,Novi Sad,Monitor,94747,6
2025-04-21,Niš,Slušalice,50103,2
2025-04-30,Beograd,Tastatura,124135,9
2025-01-28,Kragujevac,Slušalice,64698,5
2025-08-17,Niš,Slušalice,113477,1
2025-09-29,Beograd,Laptop,16254,7
2025-11-04,Niš,Monitor,6580,5
2025-12-14,Kragujevac,Slušalice,137020,4
2025-05-01,Kragujevac,Monitor,132088,3
2025-06-18,Beograd,Tastatura,118736,9
2025-10-01,Novi Sad,Monitor,130776,4
2025-08-20,Kragujevac,Tastatura,50734,5
2025-11-19,Kragujevac,Slušalice,78452,3
2025-01-05,Novi Sad,Laptop,36821,9
2025-04-07,Kragujevac,Laptop,89565,3
2025-02-22,Novi Sad,Tastatura,18427,2
2025-08-01,Novi Sad,Miš,45288,2
2025-05-06,Kragujevac,Monitor,4040,5
2025-09-18,Niš,Tastatura,97116,4
2025-08-04,Novi Sad,Laptop,102119,4
2025-08-11,Niš,Tastatura,40007,4
2025-03-08,Novi Sad,Laptop,122096,4
2025-12-02,Niš,Slušalice,57107,5
2025-11-19,Niš,Slušalice,13361,9
2025-12-24,Kragujevac,Miš,108850,5
2025-07-21,Niš,Miš,63769,8
2025-09-23,Niš,Miš,101104,3
2025-01-15,Niš,Laptop,26733,9
2025-01-30,Niš,Tastatura,48746,3
2025-01-08,Niš,Miš,127631,1
2025-10-07,Kragujevac,Slušalice,98390,5
2025-12-06,Novi Sad,Slušalice,115045,1
2025-01-29,Niš,Miš,6191,6
2025-09-21,Kragujevac,Tastatura,43340,9
2025-09-18,Niš,Miš,21435,2
2025-12-27,Beograd,Slušalice,15804,7
2025-08-18,Beograd,Laptop,38803,2
2025-08-12,Kragujevac,Laptop,9809,2
2025-09-01,Niš,Miš,106911,2
2025-07-10,Kragujevac,Slušalice,141341,9
2025-02-03,Beograd,Tastatura,86315,8
2025-02-20,Kragujevac,Tastatura,133124,4
2025-09-25,Kragujevac,Slušalice,53181,9
2025-07-08,Kragujevac,Tastatura,88768,1
2025-10-11,Novi Sad,Monitor,52164,6
2025-09-23,Niš,Laptop,40232,9
2025-05-25,Kragujevac,Miš,127587,1
2025-07-26,Beograd,Miš,66049,9
2025-10-14,Novi Sad,Tastatura,80241,6
2025-12-28,Beograd,Tastatura,19870,5
2025-07-09,Kragujevac,Miš,63368,8
2025-06-21,Niš,Miš,93340,1
2025-11-04,Kragujevac,Miš,101290,5
2025-04-22,Beograd,Miš,81020,8
2025-05-19,Kragujevac,Monitor,78201,3
2025-01-22,Beograd,Monitor,125259,8
2025-12-15,Kragujevac,Tastatura,21101,8
2025-03-05,Beograd,Miš,6988,6
2025-11-03,Beograd,Slušalice,109227,7
2025-12-18,Kragujevac,Monitor,7973,7
2025-07-16,Niš,Miš,4694,3
2025-12-13,Novi Sad,Tastatura,126223,1
2025-03-19,Niš,Monitor,54035,1
2025-02-19,Beograd,Monitor,36663,1
2025-02-23,Niš,Monitor,130187,6
2025-04-04,Novi Sad,Slušalice,83839,9
2025-10-23,Novi Sad,Tastatura,3444,4
2025-09-08,Kragujevac,Monitor,81855,6
2025-04-08,Beograd,Slušalice,47901,4
2025-04-28,Beograd,Slušalice,55352,9
2025-07-16,Niš,Monitor,87384,1
2025-01-08,Novi Sad,Laptop,28762,8
2025-10-13,Niš,Laptop,137959,1
2025-05-27,Kragujevac,Miš,42816,1
2025-03-31,Beograd,Monitor,146265,5
2025-02-18,Beograd,Monitor,48390,4
2025-11-06,Novi Sad,Miš,149277,5
2025-05-26,Niš,Tastatura,13782,1
