id,type,value,battery,date,location
100,CO2,21.83,65.13,2026-04-21,Industrijska zona
100,Pritisak,10.79,47.73,2026-05-20,Industrijska zona
100,Temperatura,25.52,0.65,2026-05-14,Most
100,Vlažnost,14.49,62.54,2026-05-09,Tunel
100,Vlažnost,2.72,85.99,2026-05-06,Centar
100,Pritisak,6.98,44.05,2026-03-09,Industrijska zona
100,Temperatura,21.45,13.82,2026-05-09,Tunel
100,Pritisak,32.78,86.32,2026-05-13,Centar
100,Pritisak,24.89,81.31,2026-02-04,Industrijska zona
100,Vlažnost,39.26,62.47,2026-01-30,Centar
100,Pritisak,38.07,15.15,2026-04-18,Centar
100,Vlažnost,13.65,49.51,2026-05-15,Most
100,Vlažnost,17.83,79.57,2026-05-19,Tunel
100,Pritisak,47.8,40.89,2026-02-03,Most
100,Vlažnost,39.62,1.23,2026-03-29,Tunel
100,Vlažnost,32.41,18.34,2026-03-22,Park
100,Temperatura,19.8,75.77,2026-05-22,Park
101,Temperatura,29.77,39.44,2026-05-23,Tunel
101,Temperatura,30.6,22.54,2026-05-24,Park
101,Vlažnost,49.85,96.28,2026-04-02,Most
101,Temperatura,43.23,16.13,2026-02-04,Park
101,Vlažnost,3.37,98.48,2026-04-03,Centar
101,Vlažnost,27.0,26.69,2026-01-17,Park
101,CO2,17.68,54.03,2026-04-14,Industrijska zona
101,Pritisak,14.86,80.03,2026-03-11,Park
101,Vlažnost,46.04,84.03,2026-03-19,Centar
101,Pritisak,26.54,25.54,2026-05-09,Most
101,Pritisak,8.62,35.56,2026-05-03,Centar
101,Vlažnost,6.21,7.25,2026-05-27,Tunel
101,Pritisak,14.5,55.1,2026-02-09,Most
101,Temperatura,24.41,0.86,2026-03-18,Centar
101,Vlažnost,45.95,95.3,2026-01-14,Tunel
101,Pritisak,33.75,62.79,2026-05-09,Industrijska zona
101,CO2,27.06,77.2,2026-05-08,Centar
101,Pritisak,8.57,81.23,2026-02-27,Most
102,CO2,8.91,40.64,2026-04-25,Industrijska zona
102,Pritisak,36.02,37.93,2026-05-13,Industrijska zona
102,Pritisak,18.38,67.25,2026-03-05,Tunel
102,CO2,34.91,1.06,2026-02-17,Industrijska zona
102,CO2,30.29,39.18,2026-04-15,Most
102,Pritisak,40.38,19.24,2026-03-06,Tunel
102,Temperatura,20.76,17.01,2026-05-04,Centar
102,CO2,11.74,26.16,2026-02-18,Most
102,Temperatura,28.33,27.59,2026-01-25,Centar
102,Vlažnost,20.84,74.34,2026-05-31,Tunel
102,CO2,17.94,70.71,2026-02-18,Centar
102,Pritisak,45.02,35.72,2026-01-19,Centar
102,CO2,14.61,11.9,2026-03-01,Most
102,Temperatura,14.18,88.14,2026-02-14,Park
102,CO2,22.44,62.92,2026-02-19,Park
102,Vlažnost,19.72,93.45,2026-03-23,Industrijska zona
102,Pritisak,37.91,1.11,2026-04-27,Tunel
102,Pritisak,33.87,13.45,2026-03-09,Park
102,Vlažnost,24.97,89.87,2026-02-01,Centar
103,CO2,15.14,35.0,2026-03-01,Park
103,Pritisak,50.67,0.96,2026-06-01,Industrijska zona
103,Vlažnost,18.55,61.32,2026-01-19,Tunel
103,Pritisak,30.6,33.15,2026-04-20,Industrijska zona
103,CO2,10.11,57.11,2026-01-19,Centar
103,CO2,11.05,69.43,2026-03-20,Centar
103,CO2,17.2,82.71,2026-01-23,Most
103,Pritisak,14.73,49.41,2026-02-19,Tunel
103,CO2,33.18,76.12,2026-05-15,Most
103,Pritisak,35.47,32.58,2026-05-01,Tunel
103,Pritisak,22.9,93.04,2026-01-22,Centar
103,CO2,30.51,24.17,2026-04-02,Tunel
103,Pritisak,8.29,40.8,2026-01-01,Centar
104,CO2,20.94,12.83,2026-03-28,Centar
104,Vlažnost,37.15,57.48,2026-01-23,Park
104,Temperatura,48.46,46.4,2026-04-10,Industrijska zona
104,Pritisak,21.65,42.26,2026-05-25,Industrijska zona
104,Pritisak,27.13,26.03,2026-03-24,Park
104,Temperatura,41.85,70.12,2026-03-27,Centar
104,Vlažnost,20.79,13.94,2026-05-05,Tunel
104,CO2,37.83,54.49,2026-04-13,Centar
104,Pritisak,23.47,57.22,2026-01-05,Tunel
104,CO2,15.55,32.2,2026-05-18,Centar
104,Vlažnost,29.34,40.73,2026-03-27,Industrijska zona
104,Pritisak,13.35,48.65,2026-04-09,Park
104,Temperatura,47.33,24.41,2026-01-26,Centar
104,Temperatura,63.13,81.75,2026-01-26,Centar
104,Vlažnost,55.6,3.95,2026-04-25,Tunel
104,Pritisak,31.41,35.71,2026-05-25,Most
104,Pritisak,17.09,49.36,2026-02-09,Tunel
104,CO2,33.43,13.06,2026-01-18,Park
104,Vlažnost,24.53,40.05,2026-02-16,Most
105,Temperatura,19.58,35.98,2026-01-29,Most
105,Vlažnost,27.37,88.08,2026-04-06,Tunel
105,Pritisak,28.78,80.94,2026-03-17,Centar
105,Pritisak,67.92,58.53,2026-02-06,Tunel
105,CO2,31.81,18.26,2026-05-10,Most
105,CO2,7.3,54.51,2026-01-28,Park
105,CO2,26.54,35.41,2026-01-29,Industrijska zona
105,Pritisak,35.72,69.19,2026-04-21,Most
105,Temperatura,54.56,18.61,2026-03-25,Most
105,Vlažnost,15.62,68.5,2026-03-09,Industrijska zona
105,Vlažnost,12.8,24.98,2026-03-08,Park
105,Temperatura,16.27,93.17,2026-01-20,Centar
105,Pritisak,4.59,52.37,2026-03-26,Park
105,CO2,28.5,33.99,2026-01-09,Centar
105,Vlažnost,17.83,58.3,2026-01-21,Park
105,Pritisak,27.67,27.34,2026-05-29,Park
105,Pritisak,15.76,27.08,2026-04-16,Industrijska zona
105,CO2,18.98,37.16,2026-03-25,Industrijska zona
106,Vlažnost,0.54,28.52,2026-02-04,Park
106,CO2,31.63,75.28,2026-01-07,Most
106,Vlažnost,6.94,78.85,2026-01-05,Tunel
106,Vlažnost,17.23,45.06,2026-05-12,Tunel
106,CO2,15.75,95.99,2026-01-20,Industrijska zona
106,CO2,36.66,83.56,2026-06-01,Tunel
106,CO2,50.65,27.0,2026-04-22,Centar
106,Pritisak,5.41,57.12,2026-04-18,Industrijska zona
106,Pritisak,48.27,69.5,2026-05-29,Park
106,CO2,52.11,35.37,2026-03-21,Most
106,Temperatura,59.11,38.4,2026-03-14,Most
106,Temperatura,11.2,15.79,2026-02-21,Tunel
106,Pritisak,39.93,86.9,2026-01-06,Tunel
106,Vlažnost,25.51,3.67,2026-01-18,Industrijska zona
106,Vlažnost,60.82,87.11,2026-03-31,Centar
106,Temperatura,35.72,14.58,2026-03-28,Park
106,Pritisak,5.93,86.16,2026-02-10,Industrijska zona
106,Vlažnost,25.65,78.04,2026-02-08,Tunel
107,Vlažnost,31.22,62.48,2026-04-07,Tunel
107,Temperatura,12.6,3.99,2026-04-21,Industrijska zona
107,Temperatura,21.86,43.91,2026-04-28,Industrijska zona
107,Temperatura,39.44,57.12,2026-01-19,Tunel
107,CO2,2.15,54.62,2026-04-30,Centar
107,CO2,7.89,0.72,2026-05-04,Tunel
107,Pritisak,30.77,42.3,2026-05-16,Park
107,Pritisak,18.8,64.22,2026-02-08,Industrijska zona
107,Vlažnost,15.15,26.51,2026-03-06,Industrijska zona
107,CO2,31.15,66.79,2026-04-30,Centar
107,CO2,44.28,6.3,2026-01-24,Industrijska zona
107,Temperatura,27.05,57.92,2026-02-09,Park
107,Vlažnost,26.38,85.61,2026-03-01,Most
107,Temperatura,63.65,69.91,2026-03-04,Most
107,Pritisak,49.95,85.64,2026-05-25,Industrijska zona
107,CO2,29.91,94.09,2026-03-14,Centar
107,Pritisak,39.73,54.6,2026-03-01,Most
107,CO2,26.97,24.96,2026-02-26,Tunel
107,Vlažnost,5.47,95.8,2026-03-24,Most
107,Pritisak,32.89,82.32,2026-01-16,Industrijska zona
108,Pritisak,36.32,56.35,2026-01-22,Most
108,Temperatura,40.55,64.68,2026-01-12,Tunel
108,CO2,18.43,36.3,2026-03-02,Industrijska zona
108,Pritisak,13.89,92.67,2026-02-08,Industrijska zona
108,Pritisak,13.32,52.37,2026-05-09,Centar
108,Vlažnost,63.32,1.58,2026-05-13,Industrijska zona
108,Temperatura,8.15,63.78,2026-01-03,Industrijska zona
108,Pritisak,13.79,18.65,2026-02-23,Tunel
108,Pritisak,21.97,48.73,2026-02-07,Industrijska zona
108,Temperatura,33.49,53.22,2026-05-18,Centar
108,Vlažnost,10.51,62.15,2026-05-30,Most
108,Temperatura,35.07,30.16,2026-04-04,Centar
109,Pritisak,34.13,16.76,2026-03-26,Tunel
109,Temperatura,23.29,75.81,2026-03-26,Park
109,Vlažnost,26.96,99.62,2026-05-05,Most
109,Temperatura,61.63,36.52,2026-01-27,Centar
109,Pritisak,24.66,31.14,2026-03-24,Most
109,Temperatura,3.23,52.85,2026-01-12,Most
