Datum,Proizvod,Grad,Cena_EUR,Količina,Ukupna_Zarada
2025-04-13,Pametna Brava Locky,Beograd,237.07,5.0,1185.35
2025-05-02,Senzor Pokreta,Beograd,408.87,4.0,1635.48
2025-08-03,Robot Usisivač X1,Beograd,261.38,8.0,2091.04
2025-01-05,Robot Usisivač X1,Novi Sad,301.33,8.0,2410.64
2025-01-05,Pametna Sijalica RGB,Subotica,249.26,1.0,249.26
2025-01-05,Pametna Brava Locky,Niš,390.38,9.0,3513.42
2025-01-05,Pametna Brava Locky,Niš,332.92,5.0,1664.6
2025-01-05,Pametna Sijalica RGB,Niš,239.35,4.0,957.4
2025-01-05,Senzor Pokreta,Niš,391.99,6.0,2351.94
2025-05-30,Pametna Brava Locky,Novi Sad,117.93,6.0,707.58
2025-11-05,Robot Usisivač X1,Kragujevac,79.23,2.0,158.46
2025-09-15,Robot Usisivač X1,Subotica,80.58,8.0,644.64
2025-12-10,Prečišćivač AirPro,Beograd,156.96,7.0,1098.72
2025-10-21,Pametna Brava Locky,Kragujevac,115.02,1.0,115.02
2025-07-11,Senzor Pokreta,Niš,419.24,5.0,2096.2
2025-10-04,Pametna Sijalica RGB,Kragujevac,56.57,6.0,339.42
2025-06-10,Pametna Sijalica RGB,Subotica,317.56,4.0,1270.24
2025-11-10,Senzor Pokreta,Beograd,93.26,2.0,186.52
2025-01-22,Prečišćivač AirPro,Beograd,397.92,4.0,1591.68
2025-09-10,Pametna Sijalica RGB,Subotica,432.98,1.0,432.98
2025-08-24,Pametna Brava Locky,Subotica,214.81,7.0,1503.67
2025-12-11,Prečišćivač AirPro,Niš,396.79,2.0,793.58
2025-02-18,Pametna Brava Locky,Beograd,12.26,2.0,24.52
2025-02-28,Robot Usisivač X1,Kragujevac,370.78,9.0,3337.02
2025-06-19,Prečišćivač AirPro,Novi Sad,110.6,5.0,553.0
2025-07-07,Pametna Sijalica RGB,Novi Sad,409.83,2.0,819.66
2025-09-28,Prečišćivač AirPro,Subotica,10.49,9.0,94.41
2025-07-09,Prečišćivač AirPro,Niš,254.72,9.0,2292.48
2025-06-24,Prečišćivač AirPro,Novi Sad,342.92,1.0,342.92
2025-02-20,Prečišćivač AirPro,Beograd,123.82,3.0,371.46
2025-12-30,Pametna Brava Locky,Subotica,94.98,4.0,379.92
2025-09-01,Senzor Pokreta,Subotica,153.63,4.0,614.52
2025-11-16,Prečišćivač AirPro,Kragujevac,256.33,2.0,512.66
2025-05-11,Pametna Sijalica RGB,Subotica,60.97,7.0,426.79
2025-05-15,Pametna Sijalica RGB,Subotica,13.99,3.0,41.97
2025-11-25,Pametna Sijalica RGB,Kragujevac,66.52,6.0,399.12
2025-06-16,Senzor Pokreta,Subotica,134.67,5.0,673.35
2025-10-01,Robot Usisivač X1,Novi Sad,18.11,4.0,72.44
2025-03-30,Pametna Sijalica RGB,Niš,200.19,1.0,200.19
2025-01-14,Robot Usisivač X1,Niš,182.55,2.0,365.1
2025-08-30,Senzor Pokreta,Kragujevac,88.98,3.0,266.94
2025-09-22,Prečišćivač AirPro,Kragujevac,341.63,8.0,2733.04
2025-12-12,Pametna Sijalica RGB,Novi Sad,357.08,6.0,2142.48
2025-02-22,Robot Usisivač X1,Niš,86.45,3.0,259.35
2025-12-06,Pametna Brava Locky,Niš,349.18,7.0,2444.26
2025-04-02,Robot Usisivač X1,Subotica,426.81,4.0,1707.24
2025-09-21,Pametna Brava Locky,Kragujevac,83.21,9.0,748.89
2025-07-25,Prečišćivač AirPro,Novi Sad,321.77,3.0,965.31
2025-03-22,Robot Usisivač X1,Novi Sad,218.37,2.0,436.74
2025-02-19,Pametna Sijalica RGB,Niš,35.49,2.0,70.98
2025-12-26,Senzor Pokreta,Kragujevac,42.87,3.0,128.61
2025-01-02,Robot Usisivač X1,Novi Sad,385.06,2.0,770.12
2025-02-23,Pametna Sijalica RGB,Subotica,445.67,4.0,1782.68
2025-04-16,Robot Usisivač X1,Novi Sad,307.46,2.0,614.92
2025-09-17,Pametna Brava Locky,Beograd,206.22,9.0,1855.98
2025-08-06,Robot Usisivač X1,Niš,178.79,6.0,1072.74
2025-02-13,Senzor Pokreta,Kragujevac,38.88,1.0,38.88
2025-06-11,Robot Usisivač X1,Kragujevac,371.47,4.0,1485.88
2025-07-21,Pametna Sijalica RGB,Kragujevac,173.61,1.0,173.61
2025-09-27,Pametna Brava Locky,Kragujevac,370.27,6.0,2221.62
2025-12-17,Pametna Brava Locky,Subotica,121.1,4.0,484.4
2025-10-31,Robot Usisivač X1,Subotica,10.45,3.0,31.35
2025-09-28,Senzor Pokreta,Novi Sad,79.93,3.0,239.79
2025-08-03,Senzor Pokreta,Beograd,216.16,9.0,1945.44
2025-09-09,Pametna Sijalica RGB,Kragujevac,425.49,6.0,2552.94
2025-07-09,Robot Usisivač X1,Novi Sad,54.97,9.0,494.73
2025-10-23,Pametna Brava Locky,Beograd,385.85,5.0,1929.25
2025-08-01,Senzor Pokreta,Niš,241.89,2.0,483.78
2025-07-27,Robot Usisivač X1,Subotica,373.41,8.0,2987.28
2025-08-25,Senzor Pokreta,Beograd,141.28,5.0,706.4
2025-12-04,Senzor Pokreta,Niš,379.58,2.0,759.16
2025-02-22,Pametna Brava Locky,Beograd,350.04,4.0,1400.16
2025-10-07,Prečišćivač AirPro,Subotica,111.22,9.0,1000.98
2025-08-05,Pametna Sijalica RGB,Subotica,67.79,4.0,271.16
2025-07-07,Pametna Brava Locky,Kragujevac,433.82,2.0,867.64
2025-02-10,Senzor Pokreta,Beograd,23.77,6.0,142.62
2025-06-06,Robot Usisivač X1,Beograd,331.76,2.0,663.52
2025-01-15,Senzor Pokreta,Niš,410.19,7.0,2871.33
2025-10-28,Pametna Brava Locky,Subotica,387.24,3.0,1161.72
2025-03-06,Pametna Sijalica RGB,Beograd,434.39,3.0,1303.17
2025-12-11,Senzor Pokreta,Subotica,344.44,5.0,1722.2
2025-01-09,Robot Usisivač X1,Novi Sad,147.26,2.0,294.52
2025-12-10,Pametna Sijalica RGB,Kragujevac,151.13,9.0,1360.17
2025-05-09,Pametna Sijalica RGB,Beograd,328.75,2.0,657.5
2025-05-16,Prečišćivač AirPro,Subotica,338.17,2.0,676.34
2025-03-04,Prečišćivač AirPro,Novi Sad,98.16,8.0,785.28
2025-05-19,Prečišćivač AirPro,Beograd,391.97,9.0,3527.73
2025-03-22,Pametna Sijalica RGB,Niš,324.57,7.0,2271.99
2025-06-12,Pametna Brava Locky,Kragujevac,257.61,3.0,772.83
2025-10-16,Pametna Sijalica RGB,Beograd,217.47,9.0,1957.23
