Datum,Proizvod,Grad,Cena_EUR,Količina,Ukupna_Zarada
2025-13-01,Prečišćivač AirPro,Novi Sad,244.35,8.0,1954.8
2025-13-01,Robot Usisivač X1,Beograd,433.33,4.0,1733.32
2025-13-01,Senzor Pokreta,Novi Sad,58.17,3.0,174.51
2025-13-01,Pametna Brava Locky,Niš,403.57,7.0,2824.99
2025-13-01,Senzor Pokreta,Subotica,446.25,3.0,1338.75
2025-13-01,Senzor Pokreta,Beograd,37.07,8.0,296.56
2025-01-21 00:00:00,Prečišćivač AirPro,Beograd,,6.0,
2025-04-13 00:00:00,Pametna Brava Locky,Beograd,237.07,5.0,1185.35
2025-05-02 00:00:00,Senzor Pokreta,Beograd,408.87,4.0,1635.48
2025-08-03 00:00:00,Robot Usisivač X1,Beograd,261.38,8.0,2091.04
01/05/2025,Robot Usisivač X1,Novi Sad,301.33,8.0,2410.64
01/05/2025,Pametna Sijalica RGB,Subotica,249.26,1.0,249.26
01/05/2025,Pametna Brava Locky,Niš,390.38,9.0,3513.42
01/05/2025,Pametna Brava Locky,Niš,332.92,5.0,1664.6000000000001
01/05/2025,Pametna Sijalica RGB,Niš,239.35,4.0,957.4
01/05/2025,Senzor Pokreta,Niš,391.99,6.0,2351.94
2025-05-30 00:00:00,Pametna Brava Locky,Novi Sad,117.93,6.0,707.58
2025-11-05 00:00:00,Robot Usisivač X1,Kragujevac,79.23,2.0,158.46
2025-09-15 00:00:00,Robot Usisivač X1,Subotica,80.58,8.0,644.64
2025-12-10 00:00:00,Prečišćivač AirPro,Beograd,156.96,7.0,1098.72
2025-10-21 00:00:00,Pametna Brava Locky,Kragujevac,115.02,1.0,115.02
2025-07-11 00:00:00,Senzor Pokreta,Niš,419.24,5.0,2096.2
2025-10-04 00:00:00,Pametna Sijalica RGB,Kragujevac,56.57,6.0,339.42
2025-06-10 00:00:00,Pametna Sijalica RGB,Subotica,317.56,4.0,1270.24
2025-11-10 00:00:00,Senzor Pokreta,Beograd,93.26,2.0,186.52
2025-01-22 00:00:00,Prečišćivač AirPro,Beograd,397.92,4.0,1591.68
2025-09-10 00:00:00,Pametna Sijalica RGB,Subotica,432.98,1.0,432.98
2025-08-24 00:00:00,Pametna Brava Locky,Subotica,214.81,7.0,1503.67
